"","station_id","sample_year","cruise_id","haul_date","eq_time","eq_latitude","eq_longitude","effort","effort_units","Lat","Lon","doy","sp_name","catch_kg","X","Y","region","crs","log_effort","median_doy","scale_doy","mean_doy","sd_doy","scale_doy2","scaled_median"
"1",20030101029,2003,"SS0301",2003-09-01,2003-09-01 06:38:00,59.2597,-166.0175,0.2515,"km2",59.2597,-166.0175,244,"Pollock_A0",0.055,441.984528355935,6569.41312049099,"SEBS",32602,-1.38031228944234,245,-1,247.506625891947,12.8663937723753,-0.272541471525289,-0.194819615837408
"2",20030101029,2003,"SS0301",2003-09-01,2003-09-01 06:38:00,59.2597,-166.0175,0.2515,"km2",59.2597,-166.0175,244,"Pacific Cod_A0",0,441.984528355935,6569.41312049099,"SEBS",32602,-1.38031228944234,245,-1,247.506625891947,12.8663937723753,-0.272541471525289,-0.194819615837408
"3",20030101029,2003,"SS0301",2003-09-01,2003-09-01 06:38:00,59.2597,-166.0175,0.2515,"km2",59.2597,-166.0175,244,"Pacific Herring_All",5.686,441.984528355935,6569.41312049099,"SEBS",32602,-1.38031228944234,245,-1,247.506625891947,12.8663937723753,-0.272541471525289,-0.194819615837408
"4",20030101029,2003,"SS0301",2003-09-01,2003-09-01 06:38:00,59.2597,-166.0175,0.2515,"km2",59.2597,-166.0175,244,"Capelin_All",1.617,441.984528355935,6569.41312049099,"SEBS",32602,-1.38031228944234,245,-1,247.506625891947,12.8663937723753,-0.272541471525289,-0.194819615837408
"5",20030101029,2003,"SS0301",2003-09-01,2003-09-01 06:38:00,59.2597,-166.0175,0.2515,"km2",59.2597,-166.0175,244,"Forage",7.843,441.984528355935,6569.41312049099,"SEBS",32602,-1.38031228944234,245,-1,247.506625891947,12.8663937723753,-0.272541471525289,-0.194819615837408
"6",20030101030,2003,"SS0301",2003-09-01,2003-09-01 15:46:00,59.0175,-166.0252,0.2348,"km2",59.0175,-166.0252,244,"Pollock_A0",0.055,441.131257305934,6542.45220297244,"SEBS",32602,-1.4490211910282,245,-1,247.506625891947,12.8663937723753,-0.272541471525289,-0.194819615837408
"7",20030101030,2003,"SS0301",2003-09-01,2003-09-01 15:46:00,59.0175,-166.0252,0.2348,"km2",59.0175,-166.0252,244,"Pacific Cod_A0",0,441.131257305934,6542.45220297244,"SEBS",32602,-1.4490211910282,245,-1,247.506625891947,12.8663937723753,-0.272541471525289,-0.194819615837408
"8",20030101030,2003,"SS0301",2003-09-01,2003-09-01 15:46:00,59.0175,-166.0252,0.2348,"km2",59.0175,-166.0252,244,"Pacific Herring_All",9.515,441.131257305934,6542.45220297244,"SEBS",32602,-1.4490211910282,245,-1,247.506625891947,12.8663937723753,-0.272541471525289,-0.194819615837408
"9",20030101030,2003,"SS0301",2003-09-01,2003-09-01 15:46:00,59.0175,-166.0252,0.2348,"km2",59.0175,-166.0252,244,"Capelin_All",0.126,441.131257305934,6542.45220297244,"SEBS",32602,-1.4490211910282,245,-1,247.506625891947,12.8663937723753,-0.272541471525289,-0.194819615837408
"10",20030101030,2003,"SS0301",2003-09-01,2003-09-01 15:46:00,59.0175,-166.0252,0.2348,"km2",59.0175,-166.0252,244,"Forage",10.68,441.131257305934,6542.45220297244,"SEBS",32602,-1.4490211910282,245,-1,247.506625891947,12.8663937723753,-0.272541471525289,-0.194819615837408
